Basic ELO	k0	lambda	accuracy	precision	recall	f1	roc_auc
700	18	0.6	0.6223	0.6352	0.6895	0.6593	0.6742
700	18	0.8	0.6118	0.6237	0.6858	0.6518	0.661
700	18	1.0	0.6053	0.6154	0.69	0.6498	0.6446
700	18	1.2	0.597	0.6067	0.6914	0.6454	0.632
700	18	1.4	0.5944	0.6028	0.697	0.6458	0.6266
700	18	1.6	0.5927	0.6012	0.698	0.645	0.623
700	18	1.8	0.5899	0.5983	0.6991	0.6436	0.6249
800	2	0.2	0.6178	0.6254	0.7052	0.6612	0.6619
800	2	0.4	0.6218	0.6312	0.6999	0.6618	0.6682
800	2	0.6	0.6264	0.6379	0.6943	0.6623	0.6755
800	2	0.8	0.6301	0.6421	0.6959	0.6655	0.6822
800	2	1.0	0.629	0.6403	0.6973	0.6654	0.6847
800	2	1.2	0.6243	0.6369	0.69	0.6602	0.682
800	2	1.4	0.6226	0.6333	0.6943	0.6613	0.6729
800	2	1.6	0.6124	0.6227	0.6914	0.654	0.6569
800	2	1.8	0.6016	0.6117	0.6922	0.648	0.6395
800	4	0.2	0.6237	0.6332	0.7005	0.6632	0.6697
800	4	0.4	0.6283	0.6398	0.6959	0.6644	0.6778
800	4	0.6	0.6305	0.6436	0.6927	0.6649	0.6839
800	4	0.8	0.6298	0.6426	0.6933	0.6647	0.6854
800	4	1.0	0.6247	0.6379	0.69	0.6608	0.6818
800	4	1.2	0.6203	0.6314	0.6922	0.6589	0.6714
800	4	1.4	0.6082	0.6191	0.6876	0.6504	0.6552
800	4	1.6	0.6031	0.6127	0.694	0.6495	0.6381
800	4	1.8	0.5982	0.6065	0.701	0.6492	0.6276
800	6	0.2	0.6243	0.6359	0.6941	0.6617	0.6759
800	6	0.4	0.63	0.6422	0.6946	0.6651	0.6828
800	6	0.6	0.632	0.6444	0.6965	0.667	0.6857
800	6	0.8	0.627	0.6398	0.6914	0.6626	0.6837
800	6	1.0	0.623	0.635	0.6911	0.6602	0.6751
800	6	1.2	0.6123	0.624	0.6874	0.6527	0.6607
800	6	1.4	0.6039	0.6142	0.6903	0.6488	0.6434
800	6	1.6	0.5964	0.6046	0.6994	0.6474	0.6304
800	6	1.8	0.595	0.6034	0.6996	0.6467	0.6253
800	8	0.2	0.6297	0.6404	0.6973	0.6658	0.679
800	8	0.4	0.6318	0.6442	0.697	0.6671	0.6844
800	8	0.6	0.6324	0.645	0.6943	0.6666	0.6853
800	8	0.8	0.6257	0.6382	0.6914	0.6617	0.68
800	8	1.0	0.6172	0.6298	0.6858	0.655	0.6688
800	8	1.2	0.6072	0.6184	0.6879	0.6498	0.6522
800	8	1.4	0.6001	0.6097	0.6924	0.6474	0.6368
