hidden_layer_sizes	activation	solver	alpha	learning_rate	learning_rate_init	early_stopping	accuracy
321x1	tanh	sgd	1e-05	adaptive	0.001	True	0.92442
321x1	tanh	adam	1e-05	adaptive	0.001	True	0.9564
321x1	tanh	lbfgs	1e-05	adaptive	0.001	True	0.97939
321x1	tanh	sgd	1e-05	adaptive	0.0001	True	0.75967
321x1	tanh	adam	1e-05	adaptive	0.0001	True	0.87881
321x1	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.97711
321x1	tanh	sgd	1e-05	invscaling	0.1	True	0.94493
321x1	tanh	adam	1e-05	invscaling	0.1	True	0.9518
321x1	tanh	lbfgs	1e-05	invscaling	0.1	True	0.97711
321x1	tanh	sgd	1e-05	invscaling	0.01	True	0.9241
321x1	tanh	adam	1e-05	invscaling	0.01	True	0.96316
321x1	tanh	lbfgs	1e-05	invscaling	0.01	True	0.97939
321x1	tanh	sgd	1e-05	invscaling	0.001	True	0.67178
321x1	tanh	adam	1e-05	invscaling	0.001	True	0.9519
321x1	tanh	lbfgs	1e-05	invscaling	0.001	True	0.97939
321x1	tanh	sgd	1e-05	invscaling	0.0001	True	0.53668
321x1	tanh	adam	1e-05	invscaling	0.0001	True	0.88568
321x1	tanh	lbfgs	1e-05	invscaling	0.0001	True	0.97939
321x2	tanh	sgd	1e-05	adaptive	0.1	True	0.97246
321x2	tanh	adam	1e-05	adaptive	0.1	True	0.94255
321x2	tanh	lbfgs	1e-05	adaptive	0.1	True	0.97257
321x2	tanh	sgd	1e-05	adaptive	0.01	True	0.96321
321x2	tanh	adam	1e-05	adaptive	0.01	True	0.96099
321x2	tanh	lbfgs	1e-05	adaptive	0.01	True	0.97939
321x2	tanh	sgd	1e-05	adaptive	0.001	True	0.90825
321x2	tanh	adam	1e-05	adaptive	0.001	True	0.95169
321x2	tanh	lbfgs	1e-05	adaptive	0.001	True	0.97939
321x2	tanh	sgd	1e-05	adaptive	0.0001	True	0.79133
321x2	tanh	adam	1e-05	adaptive	0.0001	True	0.93562
