n_estimators	max_features	max_depth	min_samples_split	min_samples_leaf	bagging	accuracy
10	4	10	2	4	True	0.93113
20	4	10	2	4	True	0.95872
30	4	10	2	4	True	0.9518
40	4	10	2	4	True	0.95862
50	4	10	2	4	True	0.94033
100	4	10	2	4	True	0.95629
1	4	10	3	4	True	0.81638
2	4	10	3	4	True	0.8667
3	4	10	3	4	True	0.91274
4	4	10	3	4	True	0.9223
5	4	10	3	4	True	0.938
6	4	10	3	4	True	0.90576
7	4	10	3	4	True	0.92442
8	4	10	3	4	True	0.95867
9	4	10	3	4	True	0.92415
10	4	10	3	4	True	0.91961
20	4	10	3	4	True	0.94493
30	4	10	3	4	True	0.96337
40	4	10	3	4	True	0.95391
50	4	10	3	4	True	0.95877
100	4	10	3	4	True	0.95634
1	4	10	4	4	True	0.83726
2	4	10	4	4	True	0.87384
3	4	10	4	4	True	0.89693
4	4	10	4	4	True	0.90143
5	4	10	4	4	True	0.94027
6	4	10	4	4	True	0.93118
7	4	10	4	4	True	0.94022
8	4	10	4	4	True	0.93557
9	4	10	4	4	True	0.92659
10	4	10	4	4	True	0.93573
20	4	10	4	4	True	0.94471
30	4	10	4	4	True	0.9518
40	4	10	4	4	True	0.94715
50	4	10	4	4	True	0.95407
100	4	10	4	4	True	0.95396
1	6	10	2	1	True	0.88081
2	6	10	2	1	True	0.88525
3	6	10	2	1	True	0.89926
4	6	10	2	1	True	0.91734
5	6	10	2	1	True	0.93573
6	6	10	2	1	True	0.94255
7	6	10	2	1	True	0.93578
8	6	10	2	1	True	0.94265
9	6	10	2	1	True	0.94038
10	6	10	2	1	True	0.93805
20	6	10	2	1	True	0.96099
30	6	10	2	1	True	0.96089
40	6	10	2	1	True	0.96554
50	6	10	2	1	True	0.95634
100	6	10	2	1	True	0.97014
1	6	10	3	1	True	0.87865
2	6	10	3	1	True	0.86263
3	6	10	3	1	True	0.90365
4	6	10	3	1	True	0.90793
5	6	10	3	1	True	0.93113
6	6	10	3	1	True	0.92891
7	6	10	3	1	True	0.93097
8	6	10	3	1	True	0.96327
9	6	10	3	1	True	0.94715
10	6	10	3	1	True	0.93816
20	6	10	3	1	True	0.96327
30	6	10	3	1	True	0.95867
40	6	10	3	1	True	0.95862
50	6	10	3	1	True	0.96094
100	6	10	3	1	True	0.96786
1	6	10	4	1	True	0.85291
2	6	10	4	1	True	0.87844
3	6	10	4	1	True	0.92178
4	6	10	4	1	True	0.90132
5	6	10	4	1	True	0.92659
6	6	10	4	1	True	0.92204
7	6	10	4	1	True	0.94276
8	6	10	4	1	True	0.94704
9	6	10	4	1	True	0.9519
10	6	10	4	1	True	0.93568
20	6	10	4	1	True	0.96099
30	6	10	4	1	True	0.95867
40	6	10	4	1	True	0.96781
50	6	10	4	1	True	0.97024
100	6	10	4	1	True	0.96099
1	6	10	2	2	True	0.86226
2	6	10	2	2	True	0.89244
3	6	10	2	2	True	0.899
4	6	10	2	2	True	0.91977
5	6	10	2	2	True	0.94715
6	6	10	2	2	True	0.9334
7	6	10	2	2	True	0.938
8	6	10	2	2	True	0.9518
9	6	10	2	2	True	0.92891
10	6	10	2	2	True	0.95412
20	6	10	2	2	True	0.94942
30	6	10	2	2	True	0.96554
40	6	10	2	2	True	0.96105
50	6	10	2	2	True	0.96327
100	6	10	2	2	True	0.96781
1	6	10	3	2	True	0.87167
2	6	10	3	2	True	0.87606
3	6	10	3	2	True	0.92431
4	6	10	3	2	True	0.91956
5	6	10	3	2	True	0.94683
6	6	10	3	2	True	0.91522
7	6	10	3	2	True	0.93589
8	6	10	3	2	True	0.95634
9	6	10	3	2	True	0.94942
10	6	10	3	2	True	0.94947
20	6	10	3	2	True	0.94947
30	6	10	3	2	True	0.9518
40	6	10	3	2	True	0.96559
50	6	10	3	2	True	0.96327
100	6	10	3	2	True	0.96327
1	6	10	4	2	True	0.86258
2	6	10	4	2	True	0.89207
3	6	10	4	2	True	0.90159
4	6	10	4	2	True	0.9334
5	6	10	4	2	True	0.9241
6	6	10	4	2	True	0.9426
7	6	10	4	2	True	0.9334
8	6	10	4	2	True	0.94033
9	6	10	4	2	True	0.95867
10	6	10	4	2	True	0.94947
20	6	10	4	2	True	0.9565
30	6	10	4	2	True	0.9564
40	6	10	4	2	True	0.96781
50	6	10	4	2	True	0.96786
100	6	10	4	2	True	0.96327
1	6	10	2	3	True	0.86665
2	6	10	2	3	True	0.899
3	6	10	2	3	True	0.9084
4	6	10	2	3	True	0.92881
5	6	10	2	3	True	0.94276
6	6	10	2	3	True	0.92648
7	6	10	2	3	True	0.9426
8	6	10	2	3	True	0.938
9	6	10	2	3	True	0.95412
10	6	10	2	3	True	0.9472
20	6	10	2	3	True	0.95418
30	6	10	2	3	True	0.96316
40	6	10	2	3	True	0.96327
50	6	10	2	3	True	0.97019
100	6	10	2	3	True	0.96332
1	6	10	3	3	True	0.86919
2	6	10	3	3	True	0.8806
3	6	10	3	3	True	0.91987
4	6	10	3	3	True	0.93124
5	6	10	3	3	True	0.92912
6	6	10	3	3	True	0.92886
7	6	10	3	3	True	0.93805
8	6	10	3	3	True	0.94952
9	6	10	3	3	True	0.94038
10	6	10	3	3	True	0.93811
20	6	10	3	3	True	0.95877
30	6	10	3	3	True	0.95169
40	6	10	3	3	True	0.96084
50	6	10	3	3	True	0.95418
100	6	10	3	3	True	0.96094
1	6	10	4	3	True	0.86686
2	6	10	4	3	True	0.87156
3	6	10	4	3	True	0.93811
4	6	10	4	3	True	0.938
5	6	10	4	3	True	0.9472
6	6	10	4	3	True	0.92447
7	6	10	4	3	True	0.94493
8	6	10	4	3	True	0.94493
9	6	10	4	3	True	0.92902
10	6	10	4	3	True	0.94709
20	6	10	4	3	True	0.96792
30	6	10	4	3	True	0.95856
40	6	10	4	3	True	0.96559
50	6	10	4	3	True	0.9564
100	6	10	4	3	True	0.96105
1	6	10	2	4	True	0.83716
2	6	10	2	4	True	0.89466
3	6	10	2	4	True	0.9083
4	6	10	2	4	True	0.89202
5	6	10	2	4	True	0.93145
6	6	10	2	4	True	0.9426
7	6	10	2	4	True	0.93811
8	6	10	2	4	True	0.94033
9	6	10	2	4	True	0.96099
10	6	10	2	4	True	0.95423
20	6	10	2	4	True	0.94958
30	6	10	2	4	True	0.9426
40	6	10	2	4	True	0.95629
50	6	10	2	4	True	0.95634
100	6	10	2	4	True	0.96559
1	6	10	3	4	True	0.87384
2	6	10	3	4	True	0.91512
3	6	10	3	4	True	0.90143
4	6	10	3	4	True	0.93584
5	6	10	3	4	True	0.93827
6	6	10	3	4	True	0.91961
7	6	10	3	4	True	0.93124
8	6	10	3	4	True	0.93827
9	6	10	3	4	True	0.94033
10	6	10	3	4	True	0.94958
20	6	10	3	4	True	0.94715
30	6	10	3	4	True	0.96786
40	6	10	3	4	True	0.96094
50	6	10	3	4	True	0.96099
100	6	10	3	4	True	0.95872
1	6	10	4	4	True	0.8417
2	6	10	4	4	True	0.89228
3	6	10	4	4	True	0.92199
4	6	10	4	4	True	0.92215
5	6	10	4	4	True	0.9334
6	6	10	4	4	True	0.93821
7	6	10	4	4	True	0.93573
8	6	10	4	4	True	0.94487
9	6	10	4	4	True	0.93351
10	6	10	4	4	True	0.94947
20	6	10	4	4	True	0.96089
30	6	10	4	4	True	0.95407
40	6	10	4	4	True	0.95185
50	6	10	4	4	True	0.96094
100	6	10	4	4	True	0.95872
1	8	10	2	1	True	0.86242
2	8	10	2	1	True	0.87151
3	8	10	2	1	True	0.93811
4	8	10	2	1	True	0.92886
5	8	10	2	1	True	0.94027
6	8	10	2	1	True	0.94493
7	8	10	2	1	True	0.9519
8	8	10	2	1	True	0.94265
9	8	10	2	1	True	0.94027
10	8	10	2	1	True	0.94715
20	8	10	2	1	True	0.97257
30	8	10	2	1	True	0.97246
40	8	10	2	1	True	0.97252
50	8	10	2	1	True	0.95862
100	8	10	2	1	True	0.96786
1	8	10	3	1	True	0.85322
2	8	10	3	1	True	0.88768
3	8	10	3	1	True	0.91274
4	8	10	3	1	True	0.92204
5	8	10	3	1	True	0.93584
6	8	10	3	1	True	0.94942
7	8	10	3	1	True	0.95164
8	8	10	3	1	True	0.9426
9	8	10	3	1	True	0.95412
10	8	10	3	1	True	0.95185
20	8	10	3	1	True	0.95418
30	8	10	3	1	True	0.96337
40	8	10	3	1	True	0.97014
50	8	10	3	1	True	0.97479
100	8	10	3	1	True	0.96554
1	8	10	4	1	True	0.86913
2	8	10	4	1	True	0.89931
3	8	10	4	1	True	0.90814
4	8	10	4	1	True	0.92199
5	8	10	4	1	True	0.93108
6	8	10	4	1	True	0.9333
7	8	10	4	1	True	0.93795
8	8	10	4	1	True	0.94952
9	8	10	4	1	True	0.94709
10	8	10	4	1	True	0.9519
20	8	10	4	1	True	0.9565
30	8	10	4	1	True	0.97479
40	8	10	4	1	True	0.96792
50	8	10	4	1	True	0.96549
100	8	10	4	1	True	0.96792
1	8	10	2	2	True	0.89471
2	8	10	2	2	True	0.8852
3	8	10	2	2	True	0.91739
4	8	10	2	2	True	0.94715
5	8	10	2	2	True	0.9472
6	8	10	2	2	True	0.94498
7	8	10	2	2	True	0.94027
8	8	10	2	2	True	0.96105
9	8	10	2	2	True	0.94493
10	8	10	2	2	True	0.94942
20	8	10	2	2	True	0.9657
30	8	10	2	2	True	0.96549
40	8	10	2	2	True	0.96327
50	8	10	2	2	True	0.96564
100	8	10	2	2	True	0.96559
1	8	10	3	2	True	0.89234
2	8	10	3	2	True	0.86929
3	8	10	3	2	True	0.93811
