GAME_ID	MATCHUP	OUTCOME	TEAM_ID_home	TEAM_ABBREVIATION_home	FG_PCT_home	FG3_PCT_home	FT_PCT_home	REB_home	OREB_home	DREB_home	AST_home	STL_home	BLK_home	OFF_RATING_home	DEF_RATING_home	TS_PCT_home	TOV_home	ELO_home	TEAM_ID_away	TEAM_ABBREVIATION_away	FG_PCT_away	FG3_PCT_away	FT_PCT_away	REB_away	OREB_away	DREB_away	AST_away	STL_away	BLK_away	OFF_RATING_away	DEF_RATING_away	TS_PCT_away	TOV_away	ELO_away
22200754	CLE vs. LAC	1	1610612739	CLE	0.564	0.606	0.737	35	4	31	35	9	7	127.1	104.2	0.706	10	1505.0	1610612746	LAC	0.416	0.105	0.852	45	15	30	17	6	0	104.2	127.1	0.491	13	1464.0
22201107	ATL vs. IND	1	1610612737	ATL	0.552	0.5	0.88	42	15	27	33	10	8	140.2	127.5	0.668	11	1428.0	1610612754	IND	0.542	0.378	1.0	32	10	22	33	7	7	127.5	140.2	0.642	17	1342.0
22200633	IND vs. ATL	0	1610612754	IND	0.396	0.233	0.828	51	19	32	24	8	9	112.1	113.0	0.488	12	1420.0	1610612737	ATL	0.436	0.485	0.714	50	14	36	26	6	9	113.0	112.1	0.547	13	1400.0
22200171	SAC vs. CLE	1	1610612758	SAC	0.526	0.436	0.857	24	2	22	30	12	4	129.6	122.4	0.695	9	1327.0	1610612739	CLE	0.535	0.423	0.85	42	12	30	24	4	1	122.4	129.6	0.633	18	1517.0
22200562	OKC vs. BOS	1	1610612760	OKC	0.592	0.5	0.636	44	9	35	31	14	3	140.2	110.4	0.697	13	1326.0	1610612738	BOS	0.455	0.3	0.806	38	11	27	29	4	7	110.4	140.2	0.576	17	1609.0
22200739	OKC vs. CLE	1	1610612760	OKC	0.526	0.556	0.88	46	10	36	19	5	2	119.1	107.5	0.644	14	1452.0	1610612739	CLE	0.443	0.276	0.778	37	11	26	27	9	5	107.5	119.1	0.521	10	1518.0
22200271	GSW vs. LAC	1	1610612744	GSW	0.495	0.373	0.692	45	12	33	36	11	6	121.6	104.9	0.604	13	1466.0	1610612746	LAC	0.448	0.393	0.667	43	10	33	22	5	2	104.9	121.6	0.541	16	1448.0
22201126	DEN vs. PHI	1	1610612743	DEN	0.506	0.344	0.864	42	10	32	34	8	4	118.4	114.4	0.613	12	1572.0	1610612755	PHI	0.483	0.267	0.773	40	11	29	18	10	3	114.4	118.4	0.562	11	1606.0
22200745	ATL vs. LAC	0	1610612737	ATL	0.474	0.259	0.8	47	15	32	24	12	2	116.5	123.7	0.544	8	1453.0	1610612746	LAC	0.525	0.487	0.895	37	6	31	25	5	5	123.7	116.5	0.679	14	1451.0
22200990	PHX vs. OKC	1	1610612756	PHX	0.521	0.465	0.875	54	14	40	31	10	7	132.0	100.0	0.653	14	1532.0	1610612760	OKC	0.375	0.349	0.952	37	7	30	23	9	2	100.0	132.0	0.519	16	1436.0
22200158	LAC vs. CLE	1	1610612746	LAC	0.506	0.447	0.786	31	4	27	19	8	2	121.4	118.2	0.652	9	1419.0	1610612739	CLE	0.518	0.485	0.714	48	10	38	29	6	2	118.2	121.4	0.634	17	1523.0
22200166	CHI vs. NOP	0	1610612741	CHI	0.506	0.259	0.889	35	6	29	23	5	8	108.8	111.7	0.585	15	1445.0	1610612740	NOP	0.5	0.158	0.778	50	13	37	20	8	5	111.7	108.8	0.576	16	1487.0
22201041	LAC vs. GSW	1	1610612746	LAC	0.479	0.471	0.813	44	16	28	30	11	1	131.4	122.3	0.609	7	1473.0	1610612744	GSW	0.557	0.472	0.733	36	7	29	28	5	1	122.3	131.4	0.666	16	1493.0
