GAME_ID	MATCHUP	OUTCOME	TEAM_ID_home	TEAM_ABBREVIATION_home	FG_PCT_home	FG3_PCT_home	FT_PCT_home	REB_home	OREB_home	DREB_home	AST_home	STL_home	BLK_home	OFF_RATING_home	DEF_RATING_home	TS_PCT_home	TOV_home	ELO_home	SENTIMENT_home	TEAM_ID_away	TEAM_ABBREVIATION_away	FG_PCT_away	FG3_PCT_away	FT_PCT_away	REB_away	OREB_away	DREB_away	AST_away	STL_away	BLK_away	OFF_RATING_away	DEF_RATING_away	TS_PCT_away	TOV_away	ELO_away	SENTIMENT_away
22300744	TOR vs. HOU	1	1610612761	TOR	0.28402366863905326	0.4126984126984127	0.8425787106446775	0.3265306122448979	0.64	0.21052631578947367	0.3448275862068966	0.8125	0.5	0.47571428571428576	0.35989717223650386	0.3173803526448363	0.30434782608695654	0.37083993660855774	0.0	1610612745	HOU	0.4395973154362416	0.5229540918163672	0.813	0.5833333333333333	0.47619047619047616	0.5142857142857142	0.37037037037037035	0.25	0.2	0.35989717223650386	0.47571428571428576	0.48618784530386727	0.9	0.4137931034482758	0.5282451923076924
22300770	LAC vs. MIN	0	1610612746	LAC	0.23668639053254437	0.4444444444444444	0.8275862068965517	0.22448979591836726	0.4	0.23684210526315785	0.206896551724138	0.3125	0.1875	0.3885714285714288	0.6336760925449871	0.33249370277078094	0.3913043478260869	0.7923930269413628	0.808469380955554	1610612750	MIN	0.7348993288590604	0.38123752495009977	0.947	0.38888888888888884	0.3333333333333333	0.4	0.7777777777777777	0.5	0.4666666666666667	0.6336760925449871	0.3885714285714288	0.6961325966850829	0.4	0.7539184952978055	0.41213588800904977
22300766	MEM vs. NOP	0	1610612763	MEM	0.28106508875739633	0.3597883597883599	0.8125937031484257	0.22448979591836726	0.12	0.42105263157894735	0.48275862068965514	0.375	0.5	0.1942857142857144	0.28149100257069404	0.309823677581864	0.5652173913043478	0.31695721077654526	0.408076231092157	1610612740	NOP	0.31543624161073813	0.4750499001996007	0.792	0.6111111111111109	0.47619047619047616	0.5428571428571429	0.33333333333333326	0.6875	0.26666666666666666	0.28149100257069404	0.1942857142857144	0.42265193370165743	0.7000000000000001	0.6677115987460818	0.538921097285068
22301148	MIL vs. BOS	1	1610612749	MIL	0.6094674556213019	0.7107583774250441	0.2503748125937031	0.4897959183673468	0.4	0.5789473684210525	0.5172413793103449	0.3125	0.3125	0.5514285714285714	0.2956298200514138	0.6120906801007556	0.5217391304347826	0.5594294770206021	0.3445684942986202	1610612738	BOS	0.2751677852348995	0.3872255489021956	0.0	0.3055555555555556	0.47619047619047616	0.22857142857142865	0.5555555555555556	0.625	0.26666666666666666	0.2956298200514138	0.5514285714285714	0.2762430939226519	0.45000000000000007	1.0	0.531976048555517
22300732	SAC vs. DET	0	1610612758	SAC	0.4408284023668637	0.47971781305114647	0.5232383808095952	0.16326530612244894	0.2	0.2894736842105263	0.5862068965517241	0.375	0.375	0.5800000000000001	0.705655526992288	0.4559193954659947	0.0	0.5689381933438986	0.4153395082294929	1610612765	DET	0.818791946308725	0.8283433133732535	1.0	0.5833333333333333	0.19047619047619047	0.6857142857142857	0.7407407407407407	0.0625	0.13333333333333333	0.705655526992288	0.5800000000000001	0.8867403314917126	0.4	0.0	0.7001025169683259
22300884	LAL vs. OKC	1	1610612747	LAL	0.5532544378698224	0.708994708994709	0.5802098950524736	0.6122448979591836	0.48	0.6842105263157895	0.5172413793103449	0.4375	0.4375	0.5742857142857145	0.3329048843187661	0.6171284634760704	0.6956521739130435	0.5103011093502376	0.0	1610612760	OKC	0.261744966442953	0.5029940119760479	0.938	0.3055555555555556	0.5238095238095238	0.20000000000000007	0.37037037037037035	0.6875	0.4666666666666667	0.3329048843187661	0.5742857142857145	0.3480662983425413	0.35	0.7476489028213167	0.6036176164852637
22301008	DAL vs. UTA	1	1610612742	DAL	0.5177514792899408	0.43033509700176364	0.41079460269865054	0.36734693877551017	0.44	0.39473684210526316	0.6551724137931035	0.6875	0.1875	0.4828571428571429	0.230077120822622	0.4609571788413097	0.3913043478260869	0.6053882725832012	0.0	1610612762	UTA	0.47651006711409405	0.0	0.895	0.3055555555555556	0.14285714285714285	0.4285714285714286	0.6296296296296295	0.3125	0.2	0.230077120822622	0.4828571428571429	0.39226519337016574	0.75	0.346394984326019	0.432975113122172
22300933	DET vs. CHA	1	1610612765	DET	0.4497041420118343	0.29805996472663143	0.8755622188905546	0.530612244897959	0.36	0.6578947368421052	0.4137931034482759	0.4375	0.3125	0.5457142857142858	0.268637532133676	0.49874055415617125	0.34782608695652173	0.06497622820919169	0.0	1610612766	CHA	0.2348993288590604	0.38323353293413165	0.696	0.36111111111111116	0.3333333333333333	0.37142857142857144	0.5555555555555556	0.375	0.13333333333333333	0.268637532133676	0.5457142857142858	0.2900552486187844	0.45000000000000007	0.1316614420062696	0.6382447209653093
22301159	ATL vs. CHA	0	1610612737	ATL	0.5887573964497043	0.671957671957672	0.43778110944527726	0.26530612244897955	0.28	0.368421052631579	0.7241379310344828	0.375	0.125	0.5614285714285714	0.5038560411311053	0.6246851385390427	0.5217391304347826	0.43581616481774943	0.2895315519424269	1610612766	CHA	0.6375838926174497	0.5109780439121756	0.955	0.16666666666666663	0.14285714285714285	0.2857142857142857	0.4814814814814814	0.625	0.13333333333333333	0.5038560411311053	0.5614285714285714	0.7154696132596685	0.5	0.10344827586206917	0.4526536576168929
22301093	PHI vs. OKC	1	1610612755	PHI	0.4053254437869823	0.7019400352733687	0.8800599700149924	0.346938775510204	0.36	0.42105263157894735	0.4482758620689655	0.4375	0.25	0.48857142857142866	0.35989717223650386	0.5541561712846347	0.5217391304347826	0.450079239302694	0.6006604325388892	1610612760	OKC	0.3657718120805369	0.3992015968063872	0.818	0.4444444444444444	0.47619047619047616	0.37142857142857144	0.6666666666666667	0.5625	0.6	0.35989717223650386	0.48857142857142866	0.4254143646408841	0.55	0.7445141065830723	0.5641863583040054
22300791	POR vs. MIN	0	1610612757	POR	0.14201183431952658	0.3650793650793651	0.5502248875562218	0.20408163265306112	0.36	0.23684210526315785	0.13793103448275867	0.4375	0.3125	0.17428571428571438	0.6092544987146529	0.20403022670025173	0.4782608695652174	0.16640253565768615	0.408076231092157	1610612750	MIN	0.674496644295302	0.46706586826347296	0.926	0.6944444444444444	0.4285714285714285	0.6571428571428573	0.4444444444444444	0.4375	0.3333333333333333	0.6092544987146529	0.17428571428571438	0.6767955801104972	0.5	0.7993730407523514	0.45980306458247644
22300930	CLE vs. BKN	0	1610612739	CLE	0.47928994082840226	0.6507936507936508	0.47526236881559214	0.12244897959183665	0.2	0.23684210526315785	0.3793103448275862	0.4375	0.25	0.4514285714285715	0.6542416452442159	0.5138539042821159	0.34782608695652173	0.7163232963549919	0.5872859332311589	1610612751	BKN	0.7248322147651007	0.7604790419161677	0.9	0.36111111111111116	0.2857142857142857	0.4	0.7777777777777777	0.375	0.2	0.6542416452442159	0.4514285714285715	0.8121546961325967	0.45000000000000007	0.35423197492163006	0.09594174208144797
22301166	DET vs. CHI	0	1610612765	DET	0.4999999999999999	0.5837742504409171	0.4782608695652174	0.26530612244897955	0.28	0.368421052631579	0.4482758620689655	0.1875	0.125	0.42999999999999994	0.6786632390745502	0.5314861460957178	0.6956521739130435	0.04595879556259885	0.3487483618755692	1610612741	CHI	0.7214765100671141	0.5109780439121756	0.733	0.4166666666666665	0.4285714285714285	0.37142857142857144	0.5925925925925926	0.8125	0.3333333333333333	0.6786632390745502	0.42999999999999994	0.6353591160220993	0.25	0.4247648902821317	0.432975113122172
