Game_ID	GAME_DATE	Team_ID_x	WL_x	PTS_x	MATCHUP	Team_ID_y	WL_y	PTS_y	ELO_x	ELO_y
21900129	2019-11-09	1610612741	L	94	CHI vs. HOU	1610612745	W	117	1377.0	1624.0
21900130	2019-11-09	1610612742	W	138	DAL @ MEM	1610612763	L	122	1475.0	1410.0
21900131	2019-11-09	1610612744	L	108	GSW @ OKC	1610612760	W	114	1501.0	1538.0
21900132	2019-11-10	1610612743	W	100	DEN @ MIN	1610612750	L	98	1579.0	1486.0
21900133	2019-11-10	1610612753	L	102	ORL vs. IND	1610612754	W	109	1528.0	1519.0
21900134	2019-11-10	1610612755	W	114	PHI vs. CHA	1610612766	L	106	1571.0	1451.0
21900135	2019-11-10	1610612749	W	121	MIL @ OKC	1610612760	L	119	1665.0	1542.0
21900136	2019-11-10	1610612739	W	108	CLE @ NYK	1610612752	L	87	1358.0	1306.0
21900137	2019-11-10	1610612751	L	112	BKN @ PHX	1610612756	W	138	1510.0	1412.0
21900138	2019-11-10	1610612737	L	113	ATL @ POR	1610612757	W	124	1402.0	1579.0
21900139	2019-11-10	1610612747	L	104	LAL vs. TOR	1610612761	W	113	1539.0	1622.0
21900140	2019-11-11	1610612750	W	120	MIN @ DET	1610612765	L	114	1481.0	1462.0
21900141	2019-11-11	1610612738	W	116	BOS vs. DAL	1610612742	L	106	1618.0	1491.0
21900142	2019-11-11	1610612740	L	116	NOP vs. HOU	1610612745	W	122	1399.0	1634.0
21900143	2019-11-11	1610612759	L	109	SAS vs. MEM	1610612763	W	113	1539.0	1394.0
21900144	2019-11-11	1610612744	L	108	GSW vs. UTA	1610612762	W	122	1497.0	1599.0
21900145	2019-11-11	1610612746	W	98	LAC vs. TOR	1610612761	L	88	1559.0	1632.0
21900146	2019-11-12	1610612754	W	111	IND vs. OKC	1610612760	L	85	1531.0	1538.0
21900147	2019-11-12	1610612739	L	97	CLE @ PHI	1610612755	W	98	1378.0	1574.0
21900148	2019-11-12	1610612748	W	117	MIA vs. DET	1610612765	L	108	1546.0	1452.0
21900149	2019-11-12	1610612741	W	120	CHI vs. NYK	1610612752	L	102	1367.0	1286.0
21900150	2019-11-12	1610612737	W	125	ATL @ DEN	1610612743	L	121	1399.0	1584.0
21900151	2019-11-12	1610612747	W	123	LAL @ PHX	1610612756	L	115	1529.0	1432.0
21900152	2019-11-12	1610612751	L	114	BKN @ UTA	1610612762	W	119	1490.0	1612.0
21900153	2019-11-12	1610612757	L	99	POR @ SAC	1610612758	W	107	1582.0	1448.0
21900154	2019-11-13	1610612763	W	119	MEM @ CHA	1610612766	L	117	1407.0	1448.0
